Date	3M	Abercrombie & Fitch	Apple	AT&T	Bank of America	Boeing	Google	IBM	TJX Companies	Whole Foods Market
3/13/2012	0.2814	-0.4109	0.1339	-0.1844	0.2281	0.2174	-0.1269	0.3297	-0.2528	0.2538
3/14/2012	0.0541	0.2221	1.3362	-0.2490	0.5789	-0.0221	0.1054	0.3102	-0.2838	-0.4901
3/15/2012	0.1636	0.1681	0.9690	-0.1880	0.4821	0.1400	-0.2297	0.0303	-0.2162	-0.4013
3/16/2012	2.1654	0.0404	0.9666	1.5581	1.7957	2.5953	0.7735	3.1819	0.6436	1.1641
3/19/2012	-0.1541	-0.3029	0.7925	-0.3956	1.2047	-0.2780	-0.1207	-0.3291	-0.2906	-0.2221
3/20/2012	-0.1457	-0.3159	0.3471	-0.4735	0.2413	0.0905	-0.4234	-0.2812	-0.3621	-0.5760
3/21/2012	-0.2275	-0.3460	0.0063	-0.0681	-0.0838	-0.2907	-0.0887	-0.2954	-0.3633	-0.4319
3/22/2012	0.2097	-0.3999	-0.0572	-0.1956	-0.0117	-0.1619	-0.0696	-0.2516	-0.2679	-0.2308
3/23/2012	0.0459	-0.3307	-0.2579	-0.0972	0.1770	-0.4233	-0.2402	-0.2672	-0.2707	-0.2490
3/26/2012	0.0099	-0.2721	0.0248	-0.1383	-0.1791	-0.0355	-0.2420	-0.1400	-0.2423	-0.0866
3/27/2012	-0.2779	-0.4588	-0.0918	-0.0310	-0.1374	-0.3347	-0.2760	-0.4544	-0.3765	-0.3802
3/28/2012	-0.2150	-0.2944	0.1333	0.1795	-0.2206	-0.2345	-0.0516	-0.1544	-0.1144	0.0005
3/29/2012	-0.2685	-0.1029	0.0423	0.1626	-0.1172	-0.1209	-0.2391	-0.3118	-0.4763	0.9571
3/30/2012	-0.1078	-0.1395	0.3152	0.2639	0.4987	-0.0608	-0.0973	-0.0515	0.4475	0.1354
