Date	3M	Abercrombie & Fitch	Apple	AT&T	Bank of America	Boeing	Google	IBM	TJX Companies	Whole Foods Market	S&P 500 Index	Info Tech Index
12/31/2012	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1/2/2013	2.08	-0.85	3.00	3.83	3.71	2.27	1.96	2.51	1.70	0.86	2.54	3.15
1/3/2013	1.96	-1.79	1.77	3.92	3.19	2.80	2.02	1.94	5.02	0.49	2.33	2.39
1/4/2013	2.76	-1.17	-1.13	4.51	4.40	3.09	4.03	1.27	4.97	-0.11	2.82	1.82
1/7/2013	2.84	-1.21	-1.66	4.98	4.22	1.02	3.58	0.83	4.26	-3.20	2.50	1.59
1/8/2013	2.85	-0.63	-1.47	1.90	3.28	-1.63	3.37	0.69	2.47	-3.79	2.17	1.33
1/9/2013	3.83	-1.23	-2.99	1.57	-1.47	1.86	4.00	0.40	2.87	-2.59	2.44	1.57
1/10/2013	4.35	1.06	-1.75	1.96	1.55	2.30	4.53	0.69	3.02	-3.16	3.22	2.11
1/11/2013	3.69	0.23	-2.39	1.66	0.26	-0.27	4.32	1.51	3.56	-2.92	3.22	2.40
1/14/2013	4.56	1.79	-5.87	0.92	-1.12	1.58	1.96	0.56	3.49	-2.38	3.12	1.65
1/15/2013	4.78	4.65	-8.84	0.15	-0.43	2.10	2.19	0.50	4.48	-2.22	3.24	1.10
1/16/2013	5.12	4.25	-5.05	-1.33	1.55	-1.35	0.82	0.54	4.41	-2.03	3.26	1.85
1/17/2013	5.63	5.00	-5.69	-1.51	-2.76	-0.13	0.27	1.10	5.09	-1.19	3.84	2.19
1/18/2013	6.34	3.71	-6.20	-0.80	-3.97	-0.42	-0.62	1.52	5.42	-0.86	4.19	1.85
1/22/2013	6.98	3.34	-5.30	-0.30	-2.16	-1.59	-0.92	2.36	5.23	1.19	4.65	2.01
1/23/2013	7.15	2.77	-3.54	0.21	-1.55	-1.42	4.53	6.88	4.64	1.97	4.81	3.27
1/24/2013	7.35	3.06	-15.49	0.12	-0.60	-0.05	6.27	6.72	5.70	2.43	4.81	1.18
1/25/2013	8.34	5.46	-17.48	0.92	0.17	-0.44	6.24	7.01	6.29	4.73	5.38	1.30
1/28/2013	8.40	3.31	-15.66	1.25	-1.03	-1.80	5.83	6.99	5.87	5.47	5.19	1.57
1/29/2013	9.65	5.71	-14.03	2.88	-0.95	-2.27	6.25	6.45	6.60	4.70	5.73	1.55
1/30/2013	8.56	5.40	-14.30	2.28	-1.90	-1.02	6.27	6.25	7.23	4.29	5.31	1.32
1/31/2013	8.29	4.23	-14.58	3.20	-2.41	-1.98	6.53	6.01	6.43	5.39	5.04	1.34
2/1/2013	9.38	6.46	-14.88	5.34	0.95	-0.65	9.34	7.12	6.71	5.35	6.10	2.50
2/4/2013	8.53	4.63	-17.04	4.51	-1.03	-0.20	7.00	6.39	6.57	3.23	4.87	0.86
2/5/2013	9.31	6.11	-14.10	4.87	2.41	0.70	7.95	5.87	7.49	3.47	5.97	2.29
2/6/2013	10.60	6.15	-14.20	5.10	2.84	1.23	8.57	4.94	7.07	2.22	6.03	2.13
2/7/2013	10.09	6.40	-12.15	4.63	2.07	2.75	9.10	4.28	6.93	3.11	5.83	2.11
2/8/2013	10.57	5.52	-10.89	4.63	1.38	1.59	10.71	5.29	7.61	3.57	6.43	3.17
2/11/2013	10.52	4.13	-9.96	4.51	2.24	0.68	10.30	4.49	6.95	5.03	6.37	3.28
2/12/2013	11.43	6.11	-12.23	5.61	5.60	0.84	10.06	4.43	6.48	5.27	6.54	2.79
2/13/2013	10.78	5.46	-12.39	5.07	4.91	-0.77	10.36	4.46	6.03	6.10	6.60	2.81
2/14/2013	10.69	6.92	-12.46	4.69	4.57	-0.57	11.06	4.23	6.50	-4.20	6.67	2.90
2/15/2013	11.18	6.23	-13.65	4.89	3.71	-0.44	11.81	4.92	6.03	-3.51	6.56	2.78
2/19/2013	12.20	8.55	-13.70	5.81	5.09	-0.94	13.74	4.58	6.36	-4.35	7.34	3.34
2/20/2013	11.09	5.98	-15.75	5.22	1.72	-0.77	11.71	4.05	4.36	-6.61	6.01	1.75
2/21/2013	10.63	2.25	-16.31	5.10	-1.55	0.86	12.15	3.54	4.15	-7.01	5.35	0.84
2/22/2013	11.51	-2.31	-15.43	5.84	-1.38	1.73	12.74	4.98	4.17	-6.02	6.27	2.09
2/25/2013	9.59	-5.84	-16.93	4.39	-4.91	-0.44	11.47	3.11	2.66	-7.48	4.32	0.46
2/26/2013	10.19	-5.23	-15.78	5.28	-4.05	0.38	11.38	3.96	2.87	-8.07	4.96	1.09
2/27/2013	11.55	-3.27	-16.60	6.35	-2.59	2.65	12.75	5.63	5.42	-6.62	6.30	1.98
2/28/2013	12.01	-2.79	-17.19	6.53	-3.19	2.04	12.95	4.84	5.94	-6.25	6.20	1.73
3/1/2013	11.76	-3.54	-19.23	6.82	-2.24	2.55	13.65	5.93	5.96	-6.07	6.45	1.83
3/4/2013	11.23	-3.46	-21.20	7.48	-1.64	2.30	15.75	7.12	6.48	-5.78	6.94	2.04
3/5/2013	12.49	-1.58	-19.11	8.57	-0.43	4.38	18.23	7.82	6.43	-6.15	7.97	3.56
3/6/2013	12.72	-2.11	-20.15	7.65	2.76	4.94	17.20	8.79	5.87	-6.39	8.08	3.54
3/7/2013	12.59	-0.44	-19.25	7.95	5.69	7.55	17.38	9.33	5.11	-5.81	8.28	3.81
3/8/2013	13.85	0.60	-19.01	8.81	4.05	7.79	17.22	9.83	5.80	-6.93	8.76	3.93
3/11/2013	13.96	1.77	-17.85	8.57	4.74	10.06	17.68	9.67	5.51	-5.84	9.12	4.27
3/12/2013	13.23	1.04	-19.62	8.93	3.53	11.68	16.67	9.92	5.04	-6.07	8.86	3.68
3/13/2013	13.18	3.75	-19.64	8.57	3.97	12.46	16.34	10.71	6.05	-3.64	9.00	3.67
3/14/2013	14.18	3.61	-18.87	9.34	4.40	12.29	15.81	12.66	6.48	-3.01	9.61	4.42
3/15/2013	14.59	1.54	-16.73	8.07	8.36	14.69	14.88	12.20	5.82	-4.66	9.43	4.20
3/18/2013	13.53	1.06	-14.50	7.24	8.28	13.03	13.87	11.31	5.89	-5.37	8.83	4.12
3/19/2013	13.28	-2.21	-14.73	7.21	9.57	13.47	14.39	11.43	6.24	-6.26	8.56	3.90
3/20/2013	13.80	-0.85	-15.19	7.36	10.17	13.28	14.77	12.27	6.93	-5.52	9.29	4.54
3/21/2013	13.02	-4.23	-15.06	7.24	8.36	11.90	14.36	10.81	7.44	-5.55	8.39	3.17
3/22/2013	14.61	-4.19	-13.36	8.07	8.28	12.55	14.23	10.72	9.82	-3.89	9.16	3.84
3/25/2013	13.27	-3.31	-13.03	7.95	6.90	12.59	14.14	10.02	11.00	-5.45	8.80	3.53
3/26/2013	14.24	-4.75	-13.50	8.99	5.86	14.94	14.53	10.86	10.77	-4.88	9.65	4.23
