Date	MMM	ANF	AAPL	T	BAC	BA	GOOG	IBM	TJX	WFM
3/13/2013	-0.3405	0.1010	-0.1747	-0.5206	-0.5210	0.2697	-0.2642	-0.2989	-0.1294	0.0412
3/14/2013	-0.2191	0.0823	-0.4315	-0.2363	-0.2109	0.3372	-0.3068	0.1956	-0.0681	-0.2889
3/15/2013	2.4443	1.3679	0.6118	3.8915	1.5506	1.6462	1.1133	3.1734	0.9943	0.6806
3/18/2013	-0.3466	-0.3741	0.0665	-0.1742	0.0428	0.0135	-0.0866	-0.1492	-0.0137	-0.3523
3/19/2013	0.0304	-0.2461	0.0269	-0.4391	0.3394	-0.0862	-0.3107	-0.3838	-0.0508	-0.1408
3/20/2013	-0.2780	-0.3696	-0.3894	-0.1291	0.2226	-0.2612	-0.3557	-0.3938	-0.0160	-0.0785
3/21/2013	-0.1955	-0.2258	-0.3498	-0.4136	-0.2397	-0.1117	-0.4681	0.7664	-0.0360	-0.1732
3/22/2013	0.0953	0.1656	-0.3201	-0.0818	-0.4808	-0.2036	-0.3186	-0.0835	0.3377	-0.0905
3/25/2013	0.1121	-0.1459	-0.1831	0.0090	-0.1743	-0.3012	-0.2267	-0.2091	0.2457	0.0442
3/26/2013	-0.4831	-0.3323	-0.4766	-0.4540	-0.1985	-0.1859	-0.5315	-0.3904	0.0884	-0.5327
3/27/2013	-0.3067	0.6040	-0.3794	-0.4157	-0.3484	-0.4126	-0.1566	-0.2694	-0.2615	-0.5133
3/28/2013	0.2075	-0.3240	-0.0668	1.4708	-0.3225	0.0443	0.0570	0.4525	0.8385	-0.0285
